Combination,RCE,Unavailability,Best Redundancy,Best Combination,Before Redundancy RCE
"[[1, 2], [3, 4, 5], [6, 7], [8], [9]]",0.016931710194955058,0.002137580205605838,"(2, 3, 2, 2, 2, 3)","[[1], [2, 3, 4], [5, 6], [7], [8], [9]]",0.01701281953920834
"[[1, 2], [3, 4, 5, 6], [7], [8], [9]]",0.01775608103436957,0.002137580205605949,"(2, 2, 3, 2, 2, 3)","[[1, 2], [3], [4, 5, 6], [7], [8], [9]]",0.01701281953920834
"[[1, 2, 3], [4], [5], [6], [7, 8, 9]]",0.017504502362563845,0.002137580205605838,"(3, 2, 2, 2, 2, 3)","[[1, 2, 3], [4], [5], [6, 7], [8], [9]]",0.01701281953920834
"[[1, 2, 3], [4], [5], [6, 7], [8, 9]]",0.016931710194955006,0.002137580205605838,"(3, 2, 2, 2, 2, 3)","[[1, 2, 3], [4], [5, 6], [7], [8], [9]]",0.01701281953920834
"[[1, 2, 3], [4], [5], [6, 7, 8], [9]]",0.017504502362563856,0.002137580205605949,"(2, 3, 2, 2, 2, 3)","[[1, 2], [3, 4, 5], [6], [7], [8], [9]]",0.01701281953920833
"[[1, 2, 3], [4], [5, 6], [7], [8, 9]]",0.016931710194954992,0.002137580205605949,"(3, 2, 2, 2, 2, 3)","[[1, 2, 3], [4, 5], [6], [7], [8], [9]]",0.01701281953920833
"[[1, 2, 3], [4], [5, 6], [7, 8], [9]]",0.01693171019495509,0.002137580205605838,"(2, 2, 2, 3, 2, 3)","[[1], [2], [3], [4], [5, 6], [7, 8, 9]]",0.017012819539208305
"[[1, 2, 3], [4], [5, 6, 7], [8], [9]]",0.017504502362563828,0.002137580205605838,"(2, 2, 2, 2, 3, 3)","[[1], [2], [3], [4, 5], [6], [7, 8, 9]]",0.017012819539208305
"[[1, 2, 3], [4, 5], [6], [7], [8, 9]]",0.01693171019495498,0.002137580205605949,"(2, 2, 2, 2, 3, 3)","[[1], [2], [3, 4], [5], [6], [7, 8, 9]]",0.017012819539208305
"[[1, 2, 3], [4, 5], [6], [7, 8], [9]]",0.01693171019495508,0.002137580205605949,"(2, 2, 2, 2, 3, 3)","[[1], [2, 3], [4], [5], [6], [7, 8, 9]]",0.017012819539208298
"[[1, 2, 3], [4, 5], [6, 7], [8], [9]]",0.016931710194955058,0.002137580205605949,"(2, 2, 2, 2, 3, 3)","[[1, 2], [3], [4], [5], [6], [7, 8, 9]]",0.017012819539208298
"[[1, 2, 3], [4, 5, 6], [7], [8], [9]]",0.017504502362563828,0.001760548504117443,"(2, 3, 3, 2, 2)","[[1], [2, 3], [4, 5, 6], [7, 8], [9]]",0.01693171019495509
"[[1, 2, 3, 4], [5], [6], [7], [8, 9]]",0.017756081034369486,0.001760548504117443,"(2, 3, 2, 3, 2)","[[1], [2, 3, 4], [5, 6], [7, 8], [9]]",0.01693171019495509
"[[1, 2, 3, 4], [5], [6], [7, 8], [9]]",0.01775608103436959,0.001760548504117443,"(3, 2, 3, 2, 2)","[[1, 2], [3], [4, 5, 6], [7, 8], [9]]",0.01693171019495509
"[[1, 2, 3, 4], [5], [6, 7], [8], [9]]",0.01775608103436955,0.001760548504117554,"(2, 3, 2, 2, 3)","[[1, 2], [3, 4], [5], [6], [7, 8, 9]]",0.01693171019495509
"[[1, 2, 3, 4], [5, 6], [7], [8], [9]]",0.01775608103436957,0.001760548504117443,"(2, 3, 2, 3, 2)","[[1, 2], [3, 4], [5], [6, 7, 8], [9]]",0.01693171019495509
"[[1, 2, 3, 4, 5], [6], [7], [8], [9]]",0.018795167242773095,0.001760548504117443,"(3, 2, 2, 3, 2)","[[1, 2, 3], [4], [5, 6], [7, 8], [9]]",0.01693171019495509
"[[1], [2], [3], [4], [5], [6, 7, 8, 9]]",0.017692925481725463,0.001760548504117554,"(2, 3, 2, 3, 2)","[[1, 2], [3, 4, 5], [6], [7, 8], [9]]",0.01693171019495508
"[[1], [2], [3], [4], [5, 6], [7, 8, 9]]",0.017012819539208305,0.001760548504117554,"(3, 2, 2, 3, 2)","[[1, 2, 3], [4, 5], [6], [7, 8], [9]]",0.01693171019495508
"[[1], [2], [3], [4], [5, 6, 7], [8, 9]]",0.01701281953920838,0.001760548504117443,"(2, 3, 3, 2, 2)","[[1, 2], [3, 4], [5, 6, 7], [8], [9]]",0.01693171019495507
"[[1], [2], [3], [4], [5, 6, 7, 8], [9]]",0.01769292548172537,0.001760548504117554,"(2, 2, 2, 3, 3)","[[1], [2], [3, 4], [5, 6], [7, 8, 9]]",0.016931710194955058
"[[1], [2], [3], [4, 5], [6], [7, 8, 9]]",0.017012819539208305,0.001760548504117443,"(2, 3, 3, 2, 2)","[[1, 2], [3, 4, 5], [6, 7], [8], [9]]",0.016931710194955058
"[[1], [2], [3], [4, 5], [6, 7], [8, 9]]",0.016540266000931152,0.001760548504117443,"(3, 2, 3, 2, 2)","[[1, 2, 3], [4, 5], [6, 7], [8], [9]]",0.016931710194955058
"[[1], [2], [3], [4, 5], [6, 7, 8], [9]]",0.017012819539208402,0.001760548504117443,"(2, 3, 2, 2, 3)","[[1], [2, 3], [4, 5], [6], [7, 8, 9]]",0.01693171019495505
"[[1], [2], [3], [4, 5, 6], [7], [8, 9]]",0.01701281953920836,0.0017605485041173319,"(2, 3, 2, 3, 2)","[[1], [2, 3], [4, 5], [6, 7, 8], [9]]",0.01693171019495505
"[[1], [2], [3], [4, 5, 6], [7, 8], [9]]",0.017012819539208402,0.001760548504117443,"(3, 2, 2, 2, 3)","[[1, 2], [3], [4, 5], [6], [7, 8, 9]]",0.01693171019495505
"[[1], [2], [3], [4, 5, 6, 7], [8], [9]]",0.017692925481725286,0.0017605485041173319,"(3, 2, 2, 3, 2)","[[1, 2], [3], [4, 5], [6, 7, 8], [9]]",0.01693171019495505
