Combination,RCE,Unavailability,Best Redundancy,Best Combination,Before Redundancy RCE
"[[1, 2, 3, 4, 5]]",0.0269019910570658,0.0001256003564155117,"(3, 3)","[[1], [2, 3, 4, 5]]",0.02042651021920892
"[[1], [2, 3, 4, 5]]",0.02042651021920892,0.0001256003564155117,"(3, 3)","[[1, 2, 3, 4], [5]]",0.02042651021920892
"[[1, 2], [3, 4, 5]]",0.018215370084920898,0.0008529962962804394,"(2, 2, 3)","[[1], [2], [3, 4, 5]]",0.018554215500207482
"[[1, 2, 3], [4, 5]]",0.018215370084920898,0.0008529962962804394,"(2, 3, 2)","[[1], [2, 3, 4], [5]]",0.01855421550020748
"[[1, 2, 3, 4], [5]]",0.02042651021920892,0.0008529962962804394,"(3, 2, 2)","[[1, 2, 3], [4], [5]]",0.01855421550020748
"[[1], [2], [3, 4, 5]]",0.018554215500207482,0.029703339194771416,"(1, 4)","[[1, 2], [3, 4, 5]]",0.018215370084920898
"[[1], [2, 3], [4, 5]]",0.017540223210206735,0.029703339194771416,"(4, 1)","[[1, 2, 3], [4, 5]]",0.018215370084920898
"[[1], [2, 3, 4], [5]]",0.01855421550020748,0.001978482381714497,"(2, 2, 2, 2, 2)","[[1], [2], [3], [4], [5]]",0.01799720329267529
"[[1, 2], [3], [4, 5]]",0.017540223210206735,0.0020686613863621917,"(2, 2, 2, 2)","[[1], [2], [3], [4, 5]]",0.017873678632367038
"[[1, 2], [3, 4], [5]]",0.017540223210206794,0.0020686613863623027,"(2, 2, 2, 2)","[[1], [2], [3, 4], [5]]",0.017873678632367038
"[[1, 2, 3], [4], [5]]",0.01855421550020748,0.0020686613863623027,"(2, 2, 2, 2)","[[1], [2, 3], [4], [5]]",0.017873678632367017
"[[1], [2], [3], [4, 5]]",0.017873678632367038,0.0020686613863623027,"(2, 2, 2, 2)","[[1, 2], [3], [4], [5]]",0.017873678632367017
"[[1], [2], [3, 4], [5]]",0.017873678632367038,0.0013039773008319822,"(2, 3, 2)","[[1, 2], [3, 4], [5]]",0.017540223210206794
"[[1], [2, 3], [4], [5]]",0.017873678632367017,0.0013039773008318711,"(2, 3, 2)","[[1], [2, 3], [4, 5]]",0.017540223210206735
"[[1, 2], [3], [4], [5]]",0.017873678632367017,0.0013039773008318711,"(3, 2, 2)","[[1, 2], [3], [4, 5]]",0.017540223210206735
