Combination,RCE,Unavailability,Best Redundancy,Best Combination,Before Redundancy RCE
"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",0.12763879490862431,5.765252948730648e-05,"(4, 4, 4, 4)","[[1, 2], [3, 4], [5, 6, 7, 8, 9, 10, 11, 12], [13]]",0.022880425920532074
"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",0.05965375328161372,5.765252948730648e-05,"(4, 4, 4, 4)","[[1, 2], [3, 4], [5], [6, 7, 8, 9, 10, 11, 12, 13]]",0.02288042592053204
"[[1, 2], [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",0.04934849523542312,5.765252948730648e-05,"(4, 4, 4, 4)","[[1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11, 12], [13]]",0.022880425920532008
"[[1, 2, 3], [4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",0.04235872914977857,5.765252948730648e-05,"(4, 4, 4, 4)","[[1, 2, 3, 4, 5, 6, 7, 8], [9, 10], [11, 12], [13]]",0.022880425920532008
"[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10, 11, 12, 13]]",0.03752257823956834,5.765252948730648e-05,"(4, 4, 4, 4)","[[1], [2, 3], [4, 5], [6, 7, 8, 9, 10, 11, 12, 13]]",0.022880425920531994
"[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11, 12, 13]]",0.03445474753062675,5.765252948730648e-05,"(4, 4, 4, 4)","[[1, 2], [3], [4, 5], [6, 7, 8, 9, 10, 11, 12, 13]]",0.022880425920531994
"[[1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12, 13]]",0.03296352161944966,5.765252948730648e-05,"(4, 4, 4, 4)","[[1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12, 13]]",0.02288042592053198
"[[1, 2, 3, 4, 5, 6, 7], [8, 9, 10, 11, 12, 13]]",0.03296352161944966,5.765252948730648e-05,"(4, 4, 4, 4)","[[1, 2, 3, 4, 5, 6, 7, 8], [9, 10], [11], [12, 13]]",0.02288042592053198
"[[1, 2, 3, 4, 5, 6, 7, 8], [9, 10, 11, 12, 13]]",0.03445474753062675,5.765252948730648e-05,"(4, 4, 4, 4)","[[1], [2, 3], [4, 5, 6, 7, 8, 9, 10, 11], [12, 13]]",0.022880425920531963
"[[1, 2, 3, 4, 5, 6, 7, 8, 9], [10, 11, 12, 13]]",0.03752257823956834,5.765252948730648e-05,"(4, 4, 4, 4)","[[1, 2], [3], [4, 5, 6, 7, 8, 9, 10, 11], [12, 13]]",0.022880425920531963
"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [11, 12, 13]]",0.04235872914977857,5.765252948730648e-05,"(4, 4, 4, 4)","[[1], [2, 3, 4, 5, 6, 7, 8, 9], [10, 11], [12, 13]]",0.022880425920531897
