r_add,num_service,time_avg,time_max,time_min,unav_avg,unav_max,unav_min
0.8,6,0.282521653175354,0.34024930000305176,0.20004582405090332,1.44033851512404e-08,1.44033851512404e-08,1.44033851512404e-08
0.8,7,0.31525986194610595,0.3735928535461426,0.2502105236053467,2.035258184207578e-08,2.035258184207578e-08,2.035258184207578e-08
0.8,8,0.44202284812927245,0.5673396587371826,0.3336460590362549,2.011486324171585e-08,2.7969780935777067e-08,1.698675600181332e-08
0.8,9,0.4953807592391968,0.5791094303131104,0.38385438919067383,2.356850405949018e-08,2.9261466361063526e-08,2.2935952692648698e-08
0.8,10,0.5756137132644653,0.6795892715454102,0.45040130615234375,2.4227638095730698e-08,2.4227638117935157e-08,2.4227638006912855e-08
0.8,11,0.7004650592803955,0.8673934936523438,0.5670044422149658,3.182509507038134e-08,3.1844837211636445e-08,3.164741657624148e-08
0.8,12,0.8122915506362915,1.0340313911437988,0.6838150024414062,3.396412310285868e-08,4.141252807343676e-08,3.31365225259006e-08
0.8,13,0.8640221118927002,1.0508933067321777,0.6505956649780273,4.481022025659698e-08,5.323424745462546e-08,4.270421338770092e-08
1,6,0.48705763816833497,0.5004308223724365,0.46706295013427734,0.0002156207756472961,0.0002156207756472961,0.0002156207756472961
1,7,0.6355235576629639,0.6671216487884521,0.6171619892120361,0.00024292898353670545,0.0002515530512311459,0.00018834080305352163
1,8,0.8089910030364991,0.8339145183563232,0.7839922904968262,0.0002654768736555235,0.0002874840354081254,0.00019188423579086233
1,9,0.9991209983825684,1.0507566928863525,0.9669337272644043,0.00029356427391820096,0.00032341372822464187,0.00022781736446664258
1,10,1.209307861328125,1.2512483596801758,1.1676175594329834,0.00029070265772805913,0.00035934212972710267,0.00023910842153018752
1,11,1.4411821842193604,1.551065444946289,1.3679828643798828,0.0003537857419277257,0.0003952692399619151,0.0002750398529676179
1,12,1.718032455444336,1.7680840492248535,1.6511189937591553,0.000400429646888345,0.0004311950589754865,0.00029403207452327607
1,13,1.9332704067230224,2.067868947982788,1.7345314025878906,0.0004447589980169697,0.00046711958681422416,0.0003468988417589802
1.2,6,0.4553269147872925,0.48385071754455566,0.44999122619628906,0.0002156207756472961,0.0002156207756472961,0.0002156207756472961
1.2,7,0.5087460994720459,0.5504035949707031,0.45086145401000977,0.0002515530512311459,0.0002515530512311459,0.0002515530512311459
1.2,8,0.6972432613372803,0.7673683166503906,0.6171340942382812,0.0002874840354081254,0.0002874840354081254,0.0002874840354081254
1.2,9,0.8840411901473999,0.9505918025970459,0.8006954193115234,0.00032341372822464187,0.00032341372822464187,0.00032341372822464187
1.2,10,1.1642634391784668,1.2342698574066162,1.1011648178100586,0.00035934212972710267,0.00035934212972710267,0.00035934212972710267
1.2,11,1.3961761236190795,1.484515905380249,1.3344690799713135,0.0003952692399619151,0.0003952692399619151,0.0003952692399619151
1.2,12,1.6863162517547607,1.7703237533569336,1.584526777267456,0.0004311950589754865,0.0004311950589754865,0.0004311950589754865
1.2,13,1.9649582862854005,2.1014325618743896,1.8793184757232666,0.00046711958681422416,0.00046711958681422416,0.00046711958681422416
