Combination,RCE,Unavailability,Best Redundancy,Best Combination,Before Redundancy RCE
"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.08526404719199512,3.717790563650958e-05,"(4, 4, 4)","[[1, 2], [3, 4], [5, 6, 7, 8, 9, 10, 11]]",0.02294272276934456
"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.04294547398001001,3.71779056366206e-05,"(4, 4, 4)","[[1, 2], [3, 4, 5, 6, 7, 8, 9], [10, 11]]",0.022942722769344486
"[[1, 2], [3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.03592938507299939,3.71779056366206e-05,"(4, 4, 4)","[[1, 2, 3, 4, 5, 6, 7], [8, 9], [10, 11]]",0.022942722769344486
"[[1, 2, 3], [4, 5, 6, 7, 8, 9, 10, 11]]",0.03162175477006237,2.722548620104348e-05,"(4, 4, 4)","[[1], [2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]",0.022698587866617114
"[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10, 11]]",0.028971988439697907,2.722548620104348e-05,"(4, 4, 4)","[[1, 2, 3, 4], [5], [6, 7, 8, 9, 10, 11]]",0.022698587866617114
"[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]",0.02769785273198018,2.722548620104348e-05,"(4, 4, 4)","[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10], [11]]",0.022698587866617114
"[[1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]",0.02769785273198018,2.722548620104348e-05,"(4, 4, 4)","[[1, 2, 3, 4, 5, 6], [7, 8, 9, 10], [11]]",0.022698587866617114
"[[1, 2, 3, 4, 5, 6, 7], [8, 9, 10, 11]]",0.028971988439697907,2.7225486201154503e-05,"(4, 4, 4)","[[1], [2, 3, 4, 5, 6, 7], [8, 9, 10, 11]]",0.0226985878666171
"[[1, 2, 3, 4, 5, 6, 7, 8], [9, 10, 11]]",0.03162175477006237,2.7225486201154503e-05,"(4, 4, 4)","[[1, 2, 3, 4, 5, 6], [7], [8, 9, 10, 11]]",0.0226985878666171
"[[1, 2, 3, 4, 5, 6, 7, 8, 9], [10, 11]]",0.03592938507299939,2.3612081991197797e-05,"(4, 4, 4)","[[1], [2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]",0.02231179356967077
"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [11]]",0.04294547398001001,2.3612081991197797e-05,"(4, 4, 4)","[[1, 2, 3, 4, 5], [6], [7, 8, 9, 10, 11]]",0.02231179356967077
"[[1], [2], [3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.029863209559029005,2.3612081991086775e-05,"(4, 4, 4)","[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10], [11]]",0.022311793569670765
"[[1], [2, 3], [4, 5, 6, 7, 8, 9, 10, 11]]",0.026065519946409266,3.671338279553904e-05,"(4, 4, 4, 4)","[[1], [2, 3], [4, 5, 6, 7, 8, 9, 10], [11]]",0.021601209598794018
"[[1], [2, 3, 4], [5, 6, 7, 8, 9, 10, 11]]",0.023897376382025822,3.671338279553904e-05,"(4, 4, 4, 4)","[[1, 2], [3], [4, 5, 6, 7, 8, 9, 10], [11]]",0.021601209598794018
"[[1], [2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]",0.022698587866617114,3.671338279553904e-05,"(4, 4, 4, 4)","[[1], [2, 3, 4, 5, 6, 7, 8], [9, 10], [11]]",0.021601209598794004
"[[1], [2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]",0.02231179356967077,3.671338279553904e-05,"(4, 4, 4, 4)","[[1, 2, 3, 4, 5, 6, 7], [8], [9, 10], [11]]",0.021601209598794004
"[[1], [2, 3, 4, 5, 6, 7], [8, 9, 10, 11]]",0.0226985878666171,3.671338279553904e-05,"(4, 4, 4, 4)","[[1], [2], [3, 4, 5, 6, 7, 8, 9], [10, 11]]",0.02160120959879399
"[[1], [2, 3, 4, 5, 6, 7, 8], [9, 10, 11]]",0.023897376382025822,3.671338279553904e-05,"(4, 4, 4, 4)","[[1, 2], [3, 4, 5, 6, 7, 8, 9], [10], [11]]",0.02160120959879396
"[[1], [2, 3, 4, 5, 6, 7, 8, 9], [10, 11]]",0.026065519946409193,3.671338279553904e-05,"(4, 4, 4, 4)","[[1, 2, 3, 4, 5, 6, 7], [8, 9], [10], [11]]",0.02160120959879396
"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10], [11]]",0.029863209559028967,3.671338279553904e-05,"(4, 4, 4, 4)","[[1], [2, 3, 4, 5, 6, 7, 8], [9], [10, 11]]",0.021601209598793948
"[[1, 2], [3], [4, 5, 6, 7, 8, 9, 10, 11]]",0.026065519946409266,3.671338279553904e-05,"(4, 4, 4, 4)","[[1, 2, 3, 4, 5, 6, 7], [8], [9], [10, 11]]",0.021601209598793948
"[[1, 2], [3, 4], [5, 6, 7, 8, 9, 10, 11]]",0.02294272276934456,3.671338279553904e-05,"(4, 4, 4, 4)","[[1], [2], [3, 4], [5, 6, 7, 8, 9, 10, 11]]",0.021601209598793938
"[[1, 2], [3, 4, 5], [6, 7, 8, 9, 10, 11]]",0.021324636467592934,3.671338279553904e-05,"(4, 4, 4, 4)","[[1], [2, 3], [4], [5, 6, 7, 8, 9, 10, 11]]",0.02160120959879392
"[[1, 2], [3, 4, 5, 6], [7, 8, 9, 10, 11]]",0.02057998322233154,3.671338279553904e-05,"(4, 4, 4, 4)","[[1, 2], [3], [4], [5, 6, 7, 8, 9, 10, 11]]",0.02160120959879392
"[[1, 2], [3, 4, 5, 6, 7], [8, 9, 10, 11]]",0.02057998322233157,2.448822015399532e-05,"(4, 4, 4)","[[1, 2], [3, 4, 5], [6, 7, 8, 9, 10, 11]]",0.021324636467592934
"[[1, 2], [3, 4, 5, 6, 7, 8], [9, 10, 11]]",0.021324636467592927,2.448822015399532e-05,"(4, 4, 4)","[[1, 2, 3], [4, 5], [6, 7, 8, 9, 10, 11]]",0.021324636467592934
