r_add,num_service,time_avg,time_max,time_min,unav_avg,unav_max,unav_min
0.8,6,0.06923129558563232,0.10084366798400879,0.04855918884277344,1.9608206222931912e-05,1.9608206222931912e-05,1.9608206222931912e-05
0.8,7,0.0695580005645752,0.09952282905578613,0.0394132137298584,2.1456125088192834e-05,2.1456125088192834e-05,2.1456125088192834e-05
0.8,8,0.07386198043823242,0.09479856491088867,0.05779767036437988,1.4885916889462169e-05,2.1612945643401105e-05,1.4138469250135621e-05
0.8,9,0.08559935092926026,0.11164069175720215,0.06020212173461914,1.9982290546716185e-05,2.3710051039071978e-05,1.7497116885145658e-05
0.8,10,0.08439722061157226,0.12317395210266113,0.06232094764709473,2.6566803059790978e-05,3.6092041478696935e-05,2.3455261749405487e-05
0.8,11,0.09155805110931396,0.10722017288208008,0.06868243217468262,3.433265878391989e-05,4.3697377807183635e-05,2.448822015399532e-05
0.8,12,0.10744338035583496,0.12253141403198242,0.08781123161315918,3.878440834508279e-05,6.170858928278289e-05,2.423343106250364e-05
0.8,13,0.1256023645401001,0.16464972496032715,0.10316348075866699,6.426187140530226e-05,8.935956735522943e-05,2.947939914799136e-05
1,6,0.22413966655731202,0.23360443115234375,0.21479487419128418,0.0023737088829065556,0.0023737088829065556,0.0023737088829065556
1,7,0.27955236434936526,0.2945842742919922,0.2613332271575928,0.0027687788704517935,0.0027687788704517935,0.0027687788704517935
1,8,0.34084060192108157,0.3675682544708252,0.31694912910461426,0.0031636924063312977,0.0031636924063312977,0.0031636924063312977
1,9,0.41927509307861327,0.4554450511932373,0.3897693157196045,0.003558449552501508,0.003558449552501508,0.003558449552501508
1,10,0.49062304496765136,0.5305547714233398,0.4514913558959961,0.003953050370894218,0.003953050370894218,0.003953050370894218
1,11,0.5851058721542358,0.6111118793487549,0.5472571849822998,0.004347494923416795,0.004347494923416795,0.004347494923416795
1,12,0.6138983011245728,0.6560118198394775,0.5827443599700928,0.004741783271952182,0.004741783271952182,0.004741783271952182
1,13,0.6635309934616089,0.7566919326782227,0.5814840793609619,0.005135915478358677,0.005135915478358677,0.005135915478358677
1.2,6,0.20640990734100342,0.21738338470458984,0.18648767471313477,0.0023737088829065556,0.0023737088829065556,0.0023737088829065556
1.2,7,0.250287389755249,0.27396416664123535,0.22429370880126953,0.0027687788704517935,0.0027687788704517935,0.0027687788704517935
1.2,8,0.32474122047424314,0.37288522720336914,0.2894937992095947,0.0031636924063312977,0.0031636924063312977,0.0031636924063312977
1.2,9,0.40274093151092527,0.44155406951904297,0.32697582244873047,0.003558449552501508,0.003558449552501508,0.003558449552501508
1.2,10,0.5027851104736328,0.5339553356170654,0.4556856155395508,0.003953050370894218,0.003953050370894218,0.003953050370894218
1.2,11,0.5837613582611084,0.6288032531738281,0.5464527606964111,0.004347494923416795,0.004347494923416795,0.004347494923416795
1.2,12,0.6800085544586182,0.7512238025665283,0.6115999221801758,0.004741783271952182,0.004741783271952182,0.004741783271952182
1.2,13,0.7855762481689453,0.8189132213592529,0.7317619323730469,0.005135915478358677,0.005135915478358677,0.005135915478358677
