r_add,num_service,time_avg,time_max,time_min,unav_avg,unav_max,unav_min
0.8,20,0.314638090133667,0.3408539295196533,0.27571892738342285,0.0002139978873008319,0.0004048110356061896,9.753910524368248e-05
0.8,40,1.9949493169784547,2.1284916400909424,1.8838398456573486,0.00030627811216134005,0.0005362536009754226,0.00011121067332475754
0.8,60,6.073444437980652,6.401985168457031,5.805224418640137,0.0004901977234025301,0.0009456195973892578,0.0002238282793949331
0.8,80,13.308632349967956,13.586943864822388,12.99404501914978,0.006201110628981876,0.04512148149010309,0.00039074722306020604
0.8,100,24.977610683441164,25.4600510597229,24.259493827819824,0.012723667210856804,0.06006833613181706,0.0004063254008996875
1,20,1.2663729429244994,1.3496856689453125,1.1290724277496338,0.020023908651662436,0.04062271941830242,0.011073644610671951
1,40,3.9338727474212645,4.066813707351685,3.8295350074768066,0.16769547251396014,0.20406116301768018,0.09735431462671307
1,60,8.76274733543396,9.039057970046997,8.445361614227295,0.27614930820781314,0.30897511389106924,0.23827114220804557
1,80,15.952879428863525,16.58471417427063,15.47246503829956,0.3688311606200791,0.42344085637226314,0.3319571789648058
1,100,26.705303931236266,27.32736873626709,25.97148299217224,0.47497068643989326,0.500988887842317,0.4456904093793176
1.2,20,1.443678331375122,1.5568809509277344,1.2858915328979492,0.007890474134553571,0.007890474134553571,0.007890474134553571
1.2,40,4.939397382736206,5.156193256378174,4.6279871463775635,0.35175821866276213,0.4077740649976084,0.2812130986089021
1.2,60,11.169343042373658,11.382812738418579,10.93704628944397,0.508144889472736,0.5601193037182458,0.447820825513892
1.2,80,20.40436999797821,20.864951848983765,19.989874839782715,0.6229333691186684,0.6715729082993784,0.521245738884945
1.2,100,32.94300818443298,33.33135986328125,32.38904857635498,0.706620121222521,0.7390408173033556,0.6732703888120369
