r_add,num_service,time_avg,time_max,time_min,unav_avg,unav_max,unav_min
0.8,6,0.11929035186767578,0.1364281177520752,0.10019302368164062,0.0003135263647063846,0.0003135263647063846,0.0003135263647063846
0.8,7,0.14116663932800294,0.19572806358337402,0.10856199264526367,0.0004610891936476236,0.0004610891936476236,0.0004610891936476236
0.8,8,0.15951862335205078,0.19322705268859863,0.11454010009765625,5.593942712078803e-05,5.593942712078803e-05,5.593942712078803e-05
0.8,9,0.15340991020202638,0.17250823974609375,0.12051606178283691,8.359056472606596e-05,8.359056472606596e-05,8.359056472606596e-05
1,6,0.19292497634887695,0.22965598106384277,0.1583261489868164,0.06793465209301008,0.06793465209301008,0.06793465209301008
1,7,0.25197863578796387,0.28232598304748535,0.22037100791931152,0.07725530557208005,0.07725530557208005,0.07725530557208005
1,8,0.3046422958374023,0.3735191822052002,0.24227595329284668,0.08648275251635928,0.08648275251635928,0.08648275251635928
1,9,0.3403578758239746,0.36925411224365234,0.30781006813049316,0.09923545329123092,0.10466174574128373,0.0956179249911957
1.2,6,0.19155383110046387,0.20433616638183594,0.17734003067016602,0.06793465209301008,0.06793465209301008,0.06793465209301008
1.2,7,0.2307129383087158,0.24280118942260742,0.22219491004943848,0.07725530557208005,0.07725530557208005,0.07725530557208005
1.2,8,0.2863743782043457,0.3031959533691406,0.27588605880737305,0.08648275251635928,0.08648275251635928,0.08648275251635928
1.2,9,0.3222340106964111,0.34787511825561523,0.29253315925598145,0.10104421744124852,0.10466174574128373,0.0956179249911957
