r_add,num_service,time_avg,time_max,time_min,unav_avg,unav_max,unav_min
0.8,6,0.16975228786468505,1.4004156589508057,0.021261215209960938,1.44033851512404e-08,1.44033851512404e-08,1.44033851512404e-08
1,6,0.030172395706176757,0.034415483474731445,0.025195598602294922,0.0001200141039411351,0.0001200141039411351,0.0001200141039411351
1.2,6,0.031900572776794436,0.040248870849609375,0.02228713035583496,0.0002156207756472961,0.0002156207756472961,0.0002156207756472961
0.8,7,0.17271010875701903,0.248765230178833,0.15322136878967285,1.569507057652686e-08,1.569507057652686e-08,1.569507057652686e-08
1,7,0.1474541664123535,0.15892314910888672,0.13715720176696777,0.00014266247532779275,0.00014266247532779275,0.00014266247532779275
1.2,7,0.15855927467346193,0.17253804206848145,0.15015482902526855,0.0002515530512311459,0.0002515530512311459,0.0002515530512311459
0.8,8,0.8239049673080444,0.91176438331604,0.8016769886016846,1.392026338642438e-08,1.392026338642438e-08,1.392026338642438e-08
1,8,0.7228407382965087,0.7323265075683594,0.7143418788909912,0.00016106008610250466,0.00016106008610250466,0.00016106008610250466
1.2,8,0.7934621095657348,0.80348801612854,0.7839784622192383,0.0002874840354081254,0.0002874840354081254,0.0002874840354081254
0.8,9,4.143958163261414,4.186156511306763,4.113037824630737,1.6346580644643893e-08,1.6346580644643893e-08,1.6346580644643893e-08
1,9,3.6747631549835207,3.7356622219085693,3.643813371658325,0.00017982770841418194,0.00017982770841418194,0.00017982770841418194
1.2,9,4.0196528673172,4.038300514221191,4.002496242523193,0.00032341372822464187,0.00032341372822464187,0.00032341372822464187
0.8,10,20.704247808456422,20.923818349838257,20.55674910545349,1.9721941080241834e-08,1.9721941080241834e-08,1.9721941080241834e-08
1,10,18.299677538871766,18.37868022918701,18.213574409484863,0.00019859497844543217,0.00019859497844543217,0.00019859497844543217
1.2,10,20.02932529449463,20.252845525741577,19.91709303855896,0.00035934212972710267,0.00035934212972710267,0.00035934212972710267
0.8,11,104.29607639312744,104.97396492958069,103.5412130355835,2.084862815721067e-08,2.084862815721067e-08,2.084862815721067e-08
1,11,92.9587349653244,93.22546148300171,92.63206791877747,0.00021930460595820378,0.00021930460595820378,0.00021930460595820378
1.2,11,101.83766541481017,102.20774435997009,101.11657238006592,0.0003952692399619151,0.0003952692399619151,0.0003952692399619151
0.8,12,531.696522808075,533.7061734199524,529.1320841312408,2.2107891406442093e-08,2.2107891406442093e-08,2.2107891406442093e-08
1,12,468.68439135551455,477.2839517593384,464.02682423591614,0.00024001380449711895,0.00024001380449711895,0.00024001380449711895
1.2,12,513.7521819353103,517.8669424057007,510.77806758880615,0.0004311950589754865,0.0004311950589754865,0.0004311950589754865
0.8,13,2663.7103137016297,2684.293787717819,2648.370135784149,2.283219069365572e-08,2.283219069365572e-08,2.283219069365572e-08
1,13,2333.7052700042723,2355.2896978855133,2319.6944682598114,0.0002603465121542303,0.0002603465121542303,0.0002603465121542303
1.2,13,2583.4823722362516,2652.6341094970703,2549.588937997818,0.00046711958681422416,0.00046711958681422416,0.00046711958681422416
